Name,Source,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Swarm of Rot Grubs,MPMM,Medium,swarm of tiny beasts,unaligned,8,22 (5d8),"5 ft., climb 5 ft.",2,7,10,1,2,1,,,fire,"piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained","blindsight 10 ft., passive Perception 6",—,0.5," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +0 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned. At the end of each of the poisoned target's turns, the target takes 3 (1d6) poison damage. Whenever the poisoned target takes fire damage, the target can repeat the saving throw, ending the effect on itself on a success. If the poisoned target ends its turn with 0 hit points, it dies.",,,,,,,"Swamp, Underdark"
Oblex Spawn,MPMM,Tiny,ooze,lawful evil,13,18 (4d4 + 8),20 ft.,8,16,15,14,11,10,"Int +4, Cha +2",,,,,"blinded, charmed, deafened, exhaustion, prone","blindsight 60 ft. (blind beyond this radius), passive Perception 12",—,0.25," Amorphous. The oblex can move through a space as narrow as 1 inch wide without squeezing. Aversion to Fire. If the oblex takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn. Unusual Nature. The oblex doesn't require sleep."," Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage plus 2 (1d4) psychic damage.",,,,,,,"Swamp, Underdark, Urban"
Wretched Sorrowsworn,MPMM,Small,monstrosity,neutral evil,15 (natural armor),10 (4d6 - 4),40 ft.,7,12,9,5,6,5,,,,"bludgeoning, piercing, and slashing while in dim light or darkness",,,"darkvision 60 ft., passive Perception 8",—,0.25, Wretched Pack Tactics. The sorrowsworn has advantage on an attack roll against a creature if at least one of the sorrowsworn's allies is within 5 feet of the creature and the ally isn't incapacitated. The sorrowsworn otherwise has disadvantage on attack rolls.," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (1d10 + 1) piercing damage, and the sorrowsworn attaches to the target. While attached, the sorrowsworn can't attack, and at the start of each of the sorrowsworn's turns, the target takes 6 (1d10 + 1) necrotic damage.The attached sorrowsworn moves with the target whenever the target moves, requiring none of the sorrowsworn's movement. The sorrowsworn can detach itself by spending 5 feet of its movement on its turn. A creature, including the target, can use its action to detach the sorrowsworn.",,,,,,,"Swamp, Underdark, Urban"
Ghoul,MM,Medium,undead,chaotic evil,12,22 (5d8),30 ft.,13,15,10,7,10,6,,,,,poison,"charmed, exhaustion, poisoned","darkvision 60 ft., passive Perception 10",Common,1.0,," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage. If the target is a creature other than an elf or undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,"Swamp, Underdark, Urban"
Rat,MM,Tiny,beast,unaligned,10,1 (1d4 - 1),20 ft.,2,11,9,2,10,4,,,,,,,"darkvision 30 ft., passive Perception 10",—,0.0, Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell.," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,,,"Swamp, Urban"
Crocodile,MM,Large,beast,unaligned,12 (natural armor),19 (3d10 + 3),"20 ft., swim 30 ft.",15,10,13,2,10,5,,Stealth +2,,,,,passive Perception 10,—,0.5, Hold Breath. The crocodile can hold its breath for 15 minutes.," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target",,,,,,,"Swamp, Urban"
Swarm of Rats,MM,Medium,swarm of tiny beasts,unaligned,10,24 (7d8 - 7),30 ft.,9,11,9,2,10,3,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 30 ft., passive Perception 10",—,0.25," Keen Smell. The swarm has advantage on Wisdom (Perception) checks that rely on smell. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +2 to hit, reach 0 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Swamp, Urban"
Deep Gnome (Svirfneblin),MM,Small,humanoid (gnome),neutral good,15 (chain shirt),16 (3d6 + 6),20 ft.,15,14,14,12,10,9,,"Investigation +3, Perception +2, Stealth +4",,,,,"darkvision 120 ft., passive Perception 12","Gnomish, Terran, Undercommon",0.5," Gnome Cunning. The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic. Innate Spellcasting. The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components:At will: nondetection (self only)1/day each: blindness/deafness, blur, disguise self Stone Camouflage. The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain."," War Pick. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage. Poisoned Dart. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success",,,,,,,Underdark
Deep Rothé,MPMM,Medium,beast (cattle),unaligned,10,13 (2d8 + 4),30 ft.,18,10,14,2,10,4,,,,,,,"darkvision 60 ft., passive Perception 10",—,0.25, Beast of Burden. The rothé is considered to be one size larger for the purpose of determining its carrying capacity.," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the rothé moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage. Dancing Lights. The rothé casts dancing lights, requiring no spell components and using Wisdom as the spellcasting ability.",,,,,,,Underdark
Giant Fire Beetle,MM,Small,beast,unaligned,13 (natural armor),4 (1d6 + 1),30 ft.,8,10,12,1,7,3,,,,,,,"blindsight 30 ft., passive Perception 8",—,0.0, Illumination. The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 ft..," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) slashing damage.",,,,,,,Underdark
Quaggoth Spore Servant,MM,Medium,plant,unaligned,13 (natural armor),45 (6d8 + 18),"20 ft., climb 20 ft.",17,12,16,2,6,1,,,,,poison,"blinded, charmed, frightened, paralyzed, poisoned","blindsight 30 ft. (blind beyond this radius), passive Perception 8",—,1.0,," Multiattack. The spore servant makes two claw attacks. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.",,,,,,,Underdark
Flumph,MM,Small,aberration,lawful good,12,7 (2d6),"5 ft., fly 30 ft.",6,15,10,14,14,11,,"Arcana +4, History +4, Religion +4",psychic,,,,"darkvision 60 ft., passive Perception 12","understands Undercommon but can't speak, telepathy 60 ft.",0.125," Advanced Telepathy. The flumph can perceive the content of any telepathic communication used within 60 feet of it, and it can't be surprised by creatures with any form of telepathy. Prone Deficiency. If the flumph is knocked prone, roll a die. On an odd result, the flumph lands upside-down and is incapacitated. At the end of each of its turns, the flumph can make a DC 10 Dexterity saving throw, righting itself and ending the incapacitated condition if it succeeds. Telepathic Shroud. The flumph is immune to any effect that would sense its emotions or read its thoughts, as well as all divination spells."," Tendrils. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage plus 2 (1d4) acid damage. At the end of each of its turns, the target must make a DC 10 Constitution saving throw, taking 2 (1d4) acid damage on a failure or ending the recurring acid damage on a success. A lesser restoration spell cast on the target also ends the recurring acid damage. Stench Spray (1/Day). Each creature in a 15-foot cone originating from the flumph must succeed on a DC 10 Dexterity saving throw or be coated in a foul-smelling liquid. A coated creature exudes a horrible stench for 1d4 hours. The coated creature is poisoned as long as the stench lasts, and other creatures are poisoned while with in 5 feet of the coated creature. A creature can remove the stench on itself by using a short rest to bathe in water, alcohol, or vinegar.",,,,,,,Underdark
Gas Spore,MM,Large,plant,unaligned,5,1 (1d10 - 4),"0 ft., fly 10 ft. (hover)",5,1,3,1,1,1,,,,,poison,"blinded, deafened, frightened, paralyzed, poisoned, prone","blindsight 30 ft. (blind beyond this radius), passive Perception 5",—,0.5," Death Burst. The gas spore explodes when it drops to 0 hit points. Each creature within 20 feet of it must succeed on a DC 15 Constitution saving throw or take 10 (3d6) poison damage and become infected with a disease on a failed save. Creatures immune to the poisoned condition are immune to this disease.Spores invade an infected creature's system, killing the creature in a number of hours equal to 1d12 + the creature's Constitution score, unless the disease is removed. In half that time, the creature becomes poisoned for the rest of the duration. After the creature dies, it sprouts 2d4 Tiny gas spores that grow to full size in 7 days. Eerie Resemblance. The gas spore resembles a beholder. A creature that can see the gas spore can discern its true nature with a successful DC 15 Intelligence (Nature) check."," Touch. Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 poison damage, and the creature must succeed on a DC 10 Constitution saving throw or become infected with the disease described in the Death Burst trait.",,,,,,,Underdark
Gray Ooze,MM,Medium,ooze,unaligned,8,22 (3d8 + 9),"10 ft., climb 10 ft.",12,6,16,1,6,2,,Stealth +2,,"acid, cold, fire",,"blinded, charmed, deafened, exhaustion, frightened, prone","blindsight 60 ft. (blind beyond this radius), passive Perception 8",—,0.5," Amorphous. The ooze can move through a space as narrow as 1 inch wide without squeezing. Corrode Metal. Any nonmagical weapon made of metal that hits the ooze corrodes. After dealing damage, the weapon takes a permanent and cumulative −1 penalty to damage rolls. If its penalty drops to −5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the ooze is destroyed after dealing damage.The ooze can eat through 2-inch-thick, nonmagical metal in 1 round. False Appearance. While the ooze remains motionless, it is indistinguishable from an oily pool or wet rock."," Pseudopod. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage plus 7 (2d6) acid damage, and if the target is wearing nonmagical metal armor, its armor is partly corroded and takes a permanent and cumulative −1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.",,,,,,,Underdark
Fire Snake,MM,Medium,elemental,neutral evil,14 (natural armor),22 (5d8),30 ft.,12,14,11,7,10,8,,,cold,"bludgeoning, piercing, and slashing from nonmagical attacks",fire,,"darkvision 60 ft., passive Perception 10",understands Ignan but can't speak,1.0, Heated Body. A creature that touches the snake or hits it with a melee attack while within 5 feet of it takes 3 (1d6) fire damage.," Multiattack. The snake makes two attacks: one with its bite and one with its tail. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage plus 3 (1d6) fire damage. Tail. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage plus 3 (1d6) fire damage.",,,,,,,Underdark
Female Steeder,MPMM,Large,monstrosity,unaligned,14 (natural armor),30 (4d10 + 8),"30 ft., climb 30 ft.",15,16,14,2,10,3,,"Perception +4, Stealth +7",,,,,"darkvision 120 ft., passive Perception 14",—,1.0," Extraordinary Leap. The distance of the steeder's long jumps is tripled; every foot of its walking speed that it spends on the jump allows it to move 3 feet. Spider Climb. The steeder can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 9 (2d8) poison damage. Sticky Leg. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: The target is stuck to the steeder's leg and grappled (escape DC 12). The steeder can have only one creature grappled at a time.",,,,,,,Underdark
Duergar,MM,Medium,humanoid (dwarf),lawful evil,"16 (scale mail, shield)",26 (4d8 + 4),25 ft.,14,11,14,11,10,9,,,,poison,,,"darkvision 120 ft., passive Perception 10","Dwarvish, Undercommon",1.0," Duergar Resilience. The duergar has advantage on saving throws against poison, spells, and illusions, as well as to resist being charmed or paralyzed. Sunlight Sensitivity. While in sunlight, the duergar has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Enlarge (Recharges after a Short or Long Rest). For 1 minute, the duergar magically increases in size, along with anything it is wearing or carrying. While enlarged, the duergar is Large, doubles its damage dice on Strength-based weapon attacks (included in the attacks), and makes Strength checks and Strength saving throws with advantage. If the duergar lacks the room to become Large, it attains the maximum size possible in the space available. War Pick. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage, or 11 (2d8 + 2) piercing damage while enlarged. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 9 (2d6 + 2) piercing damage while enlarged. Invisibility (Recharges after a Short or Long Rest). The duergar magically turns invisible until it attacks, casts a spell, or uses its Enlarge, or until its concentration is broken, up to 1 hour (as if concentrating on a spell). Any equipment the duergar wears or carries is invisible with it.",,,,,,,Underdark
Gazer,MPMM,Tiny,aberration (beholder),neutral evil,13,13 (3d4 + 6),"0 ft., fly 30 ft. (hover)",3,17,14,3,10,7,Wis +2,"Perception +4, Stealth +5",,,,prone,"darkvision 60 ft., passive Perception 14",—,0.5," Mimicry. The gazer can mimic simple sounds of speech it has heard, in any language. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage. Eye Rays. The gazer shoots two of the following magical eye rays at random (roll two d4s, and reroll duplicates), choosing one or two targets it can see within 60 feet of it:1: Dazing Ray. The targeted creature must succeed on a DC 12 Wisdom saving throw or be charmed until the start of the gazer's next turn. While the target is charmed in this way, its speed is halved, and it has disadvantage on attack rolls.2: Fear Ray. The targeted creature must succeed on a DC 12 Wisdom saving throw or be frightened until the start of the gazer's next turn.3: Frost Ray. The target must succeed on a DC 12 Dexterity saving throw or take 10 (3d6) cold damage.4: Telekinetic Ray. If the target is a creature that is Medium or smaller, it must succeed on a DC 12 Strength saving throw or be moved up to 30 feet directly away from the gazer. If the target is a Tiny object that isn't being worn or carried, the gazer moves it up to 30 feet in any direction. The gazer can also exert fine control on objects with this ray, such as manipulating a simple tool or opening a container.", Aggressive. The gazer moves up to its speed toward a hostile creature that it can see.,,,,,,Underdark
Grimlock,MM,Medium,humanoid (grimlock),neutral evil,11,11 (2d8 + 2),30 ft.,16,12,12,9,8,6,,"Athletics +5, Perception +3, Stealth +3",,,,blinded,"blindsight 30 ft. or 10 ft. while deafened (blind beyond this radius), passive Perception 13",Undercommon,0.25, Blind Senses. The grimlock can't use its blindsight while deafened and unable to smell. Keen Hearing and Smell. The grimlock has advantage on Wisdom (Perception) checks that rely on hearing or smell. Stone Camouflage. The grimlock has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.," Spiked Bone Club. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage plus 2 (1d4) piercing damage.",,,,,,,Underdark
Drow,MM,Medium,humanoid (elf),neutral evil,15 (chain shirt),13 (3d8),30 ft.,10,14,10,11,11,12,,"Perception +2, Stealth +4",,,,,"darkvision 120 ft., passive Perception 12","Elvish, Undercommon",0.25," Fey Ancestry. The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep. Innate Spellcasting. The drow's spellcasting ability is Charisma (spell save DC 11). It can innately cast the following spells, requiring no material components:At will: dancing lights1/day each: darkness, faerie fire Sunlight Sensitivity. While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Hand Crossbow. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more, the target is also unconscious while poisoned in this way. The target wakes up if it takes damage or if another creature takes an action to shake it awake.",,,,,,,Underdark
Violet Fungus,MM,Medium,plant,unaligned,5,18 (4d8),5 ft.,3,1,10,1,3,1,,,,,,"blinded, deafened, frightened","blindsight 30 ft. (blind beyond this radius), passive Perception 6",—,0.25," False Appearance. While the violet fungus remains motionless, it is indistinguishable from an ordinary fungus."," Multiattack. The fungus makes 1d4 Rotting Touch attacks. Rotting Touch. Melee Weapon Attack: +2 to hit, reach 10 ft., one creature. Hit: 4 (1d8) necrotic damage.",,,,,,,Underdark
Troglodyte,MM,Medium,humanoid (troglodyte),chaotic evil,11 (natural armor),13 (2d8 + 4),30 ft.,14,10,14,6,10,6,,Stealth +2,,,,,"darkvision 60 ft., passive Perception 10",Troglodyte,0.25," Chameleon Skin. The troglodyte has advantage on Dexterity (Stealth) checks made to hide. Stench. Any creature other than a troglodyte that starts its turn within 5 feet of the troglodyte must succeed on a DC 12 Constitution saving throw or be poisoned until the start of the creature's next turn. On a successful saving throw, the creature is immune to the stench of all troglodytes for 1 hour. Sunlight Sensitivity. While in sunlight, the troglodyte has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The troglodyte makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,,,,Underdark
Darkmantle,MM,Small,monstrosity,unaligned,11,22 (5d6 + 5),"10 ft., fly 30 ft.",16,12,13,2,10,5,,Stealth +3,,,,,"blindsight 60 ft., passive Perception 10",—,0.5," Echolocation. The darkmantle can't use its blindsight while deafened. False Appearance. While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite."," Crush. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) bludgeoning damage, and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way.While attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0, it can't benefit from any bonus to its speed, and it moves with the target.A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn, the darkmantle can detach itself from the target by using 5 feet of movement. Darkness Aura (1/Day). A 15-foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.",,,,,,,Underdark
Kuo-toa Whip,MM,Medium,humanoid (kuo-toa),neutral evil,11 (natural armor),65 (10d8 + 20),"30 ft., swim 30 ft.",14,10,14,12,14,11,,"Perception +6, Religion +5",,,,,"darkvision 120 ft., passive Perception 16",Undercommon,1.0," Amphibious. The kuo-toa can breathe air and water. Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving. Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple. Spellcasting. The kuo-toa is a 2nd-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The kuo-toa has the following cleric spells prepared:Cantrips (at will): sacred flame, thaumaturgy1st level (3 slots): bane, shield of faith Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kuo-toa makes two attacks: one with its bite and one with its pincer staff. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Pincer Staff. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 14). Until this grapple ends, the kuo-toa can't use its pincer staff on another target.",,,,,,,Underdark
Chitine,MPMM,Small,monstrosity,chaotic evil,14 (hide armor),18 (4d6 + 4),"30 ft., climb 30 ft.",10,14,12,10,10,7,,"Athletics +4, Stealth +4",,,,,"darkvision 60 ft., passive Perception 10",Undercommon,0.5," Fey Ancestry. The chitine has advantage on saving throws against being charmed, and magic can't put the chitine to sleep. Sunlight Sensitivity. While in sunlight, the chitine has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight. Web Sense. While in contact with a web, the chitine knows the exact location of any other creature in contact with the same web. Web Walker. The chitine ignores movement restrictions caused by webbing."," Multiattack. The chitine makes three Dagger attacks. Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,,,,Underdark
Piercer,MM,Medium,monstrosity,unaligned,15 (natural armor),22 (3d8 + 9),"5 ft., climb 5 ft.",10,13,16,1,7,3,,Stealth +5,,,,,"blindsight 30 ft., darkvision 60 ft., passive Perception 8",—,0.5," False Appearance. While the piercer remains motionless on the ceiling, it is indistinguishable from a normal stalactite. Spider Climb. The piercer can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Drop. Melee Weapon Attack: +3 to hit, one creature directly underneath the piercer. Hit: 3 (1d6) piercing damage per 10 feet fallen, up to 21 (6d6). Miss: The piercer takes half the normal falling damage for the distance fallen.",,,,,,,Underdark
Magma Mephit,MM,Small,elemental,neutral evil,11,22 (5d6 + 5),"30 ft., fly 30 ft.",8,12,12,7,10,10,,Stealth +3,cold,,"fire, poison",poisoned,"darkvision 60 ft., passive Perception 10","Ignan, Terran",0.5," Death Burst. When the mephit dies, it explodes in a burst of lava. Each creature within 5 feet of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one. False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary mound of magma. Innate Spellcasting (1/Day). The mephit can innately cast heat metal (spell save DC 10), requiring no material components. Its innate spellcasting ability is Charisma."," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) fire damage. Fire Breath (Recharge 6). The mephit exhales a 15-foot cone of fire. Each creature in that area must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.",,,,,,,Underdark
Rust Monster,MM,Medium,monstrosity,unaligned,14 (natural armor),27 (5d8 + 5),40 ft.,13,12,13,2,13,6,,,,,,,"darkvision 60 ft., passive Perception 11",—,0.5," Iron Scent. The rust monster can pinpoint, by scent, the location of ferrous metal within 30 feet of it. Rust Metal. Any nonmagical weapon made of metal that hits the rust monster corrodes. After dealing damage, the weapon takes a permanent and cumulative −1 penalty to damage rolls. If its penalty drops to −5, the weapon is destroyed. Non magical ammunition made of metal that hits the rust monster is destroyed after dealing damage."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage. Antennae. The rust monster corrodes a nonmagical ferrous metal object it can see within 5 feet of it. If the object isn't being worn or carried, the touch destroys a 1-foot cube of it. If the object is being worn or carried by a creature, the creature can make a DC 11 Dexterity saving throw to avoid the rust monster's touch.If the object touched is either metal armor or a metal shield being worn or carried, it takes a permanent and cumulative −1 penalty to the AC it offers. Armor reduced to an AC of 10 or a shield that drops to a +0 bonus is destroyed. If the object touched is a held metal weapon, it rusts as described in the Rust Metal trait.",,,,,,,Underdark
Shrieker,MM,Medium,plant,unaligned,5,13 (3d8),0 ft.,1,1,10,1,3,1,,,,,,"blinded, deafened, frightened","blindsight 30 ft. (blind beyond this radius), passive Perception 6",—,0.0," False Appearance. While the shrieker remains motionless, it is indistinguishable from an ordinary fungus."," Shriek. When bright light or a creature is within 30 feet of the shrieker, it emits a shriek audible within 300 feet of it. The shrieker continues to shriek until the disturbance moves out of range and for 1d4 of the shrieker's turns afterward.",,,,,,,Underdark
Kuo-toa,MM,Medium,humanoid (kuo-toa),neutral evil,"13 (natural armor, shield)",18 (4d8),"30 ft., swim 30 ft.",13,10,11,11,10,8,,Perception +4,,,,,"darkvision 120 ft., passive Perception 14",Undercommon,0.25," Amphibious. The kuo-toa can breathe air and water. Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving. Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple. Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage. Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack. Net. Ranged Weapon Attack: +3 to hit, range 5/15 ft., one Large or smaller creature. Hit: The target is restrained. A creature can use its action to make a DC 10 Strength check to free itself or another creature in a net, ending the effect on a success. Dealing 5 slashing damage to the net (AC 10) frees the target without harming it and destroys the net.",," Sticky Shield. When a creature misses the kuo-toa with a melee weapon attack, the kuo-toa uses its sticky shield to catch the weapon. The attacker must succeed on a DC 11 Strength saving throw, or the weapon becomes stuck to the kuo-toa's shield. If the weapon's wielder can't or won't let go of the weapon, the wielder is grappled while the weapon is stuck. While stuck, the weapon can't be used. A creature can pull the weapon free by taking an action to make a DC 11 Strength check and succeeding.",,,,,Underdark
Male Steeder,MPMM,Medium,monstrosity,unaligned,12 (natural armor),13 (2d8 + 4),"30 ft., climb 30 ft.",15,12,14,2,10,3,,"Perception +4, Stealth +5",,,,,"darkvision 120 ft., passive Perception 14",—,0.25," Extraordinary Leap. The distance of the steeder's long jumps is tripled; every foot of its walking speed that it spends on the jump allows it to jump 3 feet. Spider Climb. The steeder can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. Sticky Leg. Melee Weapon Attack: +4 to hit, reach 5 ft., one Small or Tiny creature. Hit: The target is stuck to the steeder's leg and grappled (escape DC 12). The steeder can have only one creature grappled at a time.",,,,,,,Underdark
Maw Demon,MPMM,Medium,fiend (demon),chaotic evil,13 (natural armor),33 (6d8 + 6),30 ft.,14,8,13,5,8,5,,,,"cold, fire, lightning",poison,"charmed, frightened, poisoned","darkvision 60 ft., passive Perception 9",understands Abyssal but can't speak,1.0,," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage. Disgorge (Recharge 6). The demon vomits in a 15-foot cube. Each creature in that area must succeed on a DC 11 Dexterity saving throw or take 11 (2d10) acid damage and fall prone in the spew.",,,,,,,Underdark
